Title_ID,Titles,Categories,Date_Added,Ratings,Description
tid124,The Interview,Movie,2021-09-01,R,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
tid125,The Nutty Professor,Movie,2021-09-01,PG-13,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance."
tid126,The Nutty Professor II: The Klumps,Movie,2021-09-01,PG-13,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation."
tid127,Welcome Home Roscoe Jenkins,Movie,2021-09-01,PG-13,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
tid128,In the Line of Fire,Movie,2021-08-31,R,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.
tid129,Untold: Crime & Penalties,Movie,2021-08-31,TV-MA,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
tid130,2 Alone in Paris,Movie,2021-08-28,TV-MA,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
tid131,Thimmarusu,Movie,2021-08-28,TV-14,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
tid132,Wind River,Movie,2021-08-28,R,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
tid133,C Kkompany,Movie,2021-08-27,TV-14,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
tid134,EMI: Liya Hai To Chukana Padega,Movie,2021-08-27,TV-14,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
tid135,He's All That,Movie,2021-08-27,TV-14,"An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That."""
tid136,King of Boys: The Return of the King,TV Show,2021-08-27,TV-MA,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
tid137,Koi Aap Sa,Movie,2021-08-27,TV-14,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her."
tid138,Krishna Cottage,Movie,2021-08-27,TV-14,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
tid139,Kucch To Hai,Movie,2021-08-27,TV-14,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
tid140,Kyaa Kool Hai Hum,Movie,2021-08-27,TV-MA,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
tid141,Kyaa Kool Hain Hum 3,Movie,2021-08-27,TV-MA,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
tid142,Kyaa Super Kool Hain Hum,Movie,2021-08-27,TV-MA,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.
tid143,Kyo Kii... Main Jhuth Nahin Bolta,Movie,2021-08-27,TV-14,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
tid144,"LSD: Love, Sex Aur Dhokha",Movie,2021-08-27,TV-MA,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
tid145,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Movie,2021-08-27,TV-14,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
