Title_ID,Title,Type,Category,Date_Added,Rating,Description
tid647,War Dogs,Movie,"Comedies, Dramas",2021-02-08,R,A massage therapist gets in over his head when he partners with a charismatic childhood pal in the lucrative but shady business of global arms dealing.
tid648,Monster Run,Movie,"Action & Adventure, International Movies",2021-02-07,TV-14,"Jimo, an outcast who can see monsters, teams up with a monster hunter to fight evil forces and soon discovers her greater calling."
tid649,Blanche Gardin: I talk to myself,Movie,Stand-Up Comedy,2021-02-05,TV-MA,"Touching on bulimia, death and cat sodomy, this French actress and comedian is keen to push the envelope in a one-woman show with understated flair."
tid650,Doob: No Bed of Roses,Movie,"Dramas, Independent Movies, International Movies",2021-02-05,TV-PG,"As a noted filmmaker’s infidelity becomes a media firestorm, his fractured family privately navigates the fallout of his actions for years to come."
tid651,Little Big Women,Movie,"Dramas, International Movies",2021-02-05,TV-14,A family grapples with the passing of their estranged father and the remnants of the life he led during his absence.
tid652,Malcolm & Marie,Movie,"Dramas, Independent Movies",2021-02-05,R,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning."
tid653,Space Sweepers,Movie,"Action & Adventure, Dramas, International Movies",2021-02-05,TV-MA,"Chasing after space debris and faraway dreams in year 2092, four misfits unearth explosive secrets during the attempted trade of a wide-eyed humanoid."
tid654,The Last Paradiso,Movie,"Dramas, International Movies, Romantic Movies",2021-02-05,TV-MA,"In 1950s Italy, a passionate free spirit dreams of love, justice and a better life till a forbidden affair threatens everything. Based on real events."
tid655,The Yin-Yang Master: Dream Of Eternity,Movie,"Action & Adventure, International Movies",2021-02-05,TV-14,"When a demonic serpent reawakens, the Yin-Yang Masters must solve a murder mystery and protect their realms from a dark conspiracy at the royal court."
tid656,All My Friends Are Dead,Movie,"Comedies, Dramas, International Movies",2021-02-03,TV-MA,"A group of friends at a New Year’s Eve party go through a whirlwind of events that exposes secrets, breaks hearts — and leads to a shocking outcome."
tid657,Black Beach,Movie,"Action & Adventure, International Movies",2021-02-03,TV-MA,A lawyer with a promising future is forced to deep dive into his past when he agrees to negotiate with an old friend turned kidnapper.
tid658,"Our Lady of San Juan, Four Centuries of Miracles",Movie,"Dramas, Faith & Spirituality, International Movies",2021-02-02,TV-PG,"In this dramatization, the Virgin Mary works a miracle on a girl in 1623 Mexico. Four centuries later, a family make a pilgrimage for their own child."
tid659,Beverly Hills Ninja,Movie,"Action & Adventure, Comedies",2021-02-01,PG-13,"Raised by ninjas, a big-hearted but bumbling orphan travels to Beverly Hills on a mission to help a woman investigate her shady boyfriend."
tid660,Rocks,Movie,Dramas,2021-02-01,TV-MA,"Following her mother's abrupt departure, a dynamic and determined teen goes to extraordinary lengths to protect and provide for her younger brother."
tid661,Shutter Island,Movie,Thrillers,2021-02-01,R,A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.
tid662,The Bank Job,Movie,"Dramas, International Movies, Thrillers",2021-02-01,R,"A thief gets in over his head when he breaks into a bank vault full of cash, gems... and secrets on everyone from the London mob to the royal family."
tid663,The House Arrest of Us,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies",2021-02-01,TV-MA,A couple decides to make their engagement official by honoring tradition when a pandemic forces them and their families to quarantine under one roof.
tid664,Zathura,Movie,"Children & Family Movies, Sci-Fi & Fantasy",2021-02-01,PG,"A mysterious game sends two brothers flying into space, where they must reach the planet Zathura — or be trapped in galactic limbo forever."
tid665,Fatima,Movie,"Dramas, Faith & Spirituality",2021-01-31,PG-13,"In 1917 Portugal, visions of the Virgin Mary come to three children whose message of faith raises doubts in their family and angers authorities."
tid666,Hell Fest,Movie,Horror Movies,2021-01-31,R,"A serial killer picks off a group of friends, one by one, as they make their way through a hell-themed amusement park."
tid667,Below Zero,Movie,"Action & Adventure, International Movies",2021-01-29,TV-MA,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures."
tid668,Finding ‘Ohana,Movie,"Children & Family Movies, Comedies",2021-01-29,PG,"In Oʻahu for the summer, two siblings from Brooklyn connect with their Hawaiian heritage — and their family — on a daring quest for long-lost treasure."
tid669,The Dig,Movie,"Dramas, International Movies",2021-01-29,PG-13,"On the eve of World War II, a British widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find."
tid670,June & Kopi,Movie,"Children & Family Movies, Dramas, International Movies",2021-01-28,TV-PG,"A street dog is taken in by a young couple, and the family pit becomes an instant accomplice as she adjusts to her new, loving home."
tid671,Accomplice,Movie,"Documentaries, International Movies, Sports Movies",2021-01-27,TV-14,Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.
tid672,Kilometers and Kilometers,Movie,"Comedies, Dramas, Independent Movies",2021-01-27,TV-MA,"When a debt-ridden man reluctantly agrees to drive an American tourist around India, their stark differences lead to bickering… and unexpected bonding."
tid673,Penguin Bloom,Movie,"Children & Family Movies, Dramas",2021-01-27,TV-14,"As a mom copes with the aftermath of a harrowing accident, she finds inspiration from an injured magpie taken in by her family. Based on a true story."
tid674,Black Rose,Movie,"Dramas, International Movies",2021-01-26,TV-14,"Struggling in poverty with her single mother and siblings, a principled young woman meets the man of her dreams but soon finds he's keeping secrets."
tid675,So My Grandma’s a Lesbian!,Movie,"Comedies, International Movies, LGBTQ Movies",2021-01-22,TV-MA,"Two women in their 70s decide to come out to their families and get married, sparking chaos — and threatening a granddaughter's engagement."
tid676,The Next Three Days,Movie,"Dramas, Thrillers",2021-01-22,PG-13,"When his wife becomes a murder suspect and is sent to prison, a professor plots a meticulous plan to take back her freedom and reunite his family."
tid677,The White Tiger,Movie,Dramas,2021-01-22,R,The ambitious driver for a rich Indian family uses his wit and cunning to escape from poverty and become an entrepreneur. Based on the bestselling novel.
tid678,Friendsgiving,Movie,Comedies,2021-01-21,R,A quiet holiday dinner among friends turns into a chaotic night of illicit activity and compromising situations when uninvited guests crash the party.
tid679,The Shadow of Violence,Movie,Dramas,2021-01-21,R,"As he reconciles with his ex and their son, an enforcer for a crime family gets an order that tests his loyalty and endangers everyone he holds dear."
tid680,Cut Throat City,Movie,Dramas,2021-01-20,R,"Bereft of opportunities in the aftermath of Hurricane Katrina, a young man and his close friends turn to a life of crime in the 9th Ward of New Orleans."
tid681,Sightless,Movie,Thrillers,2021-01-20,TV-14,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.
tid682,Homefront,Movie,Action & Adventure,2021-01-18,R,"When an ex-DEA agent is widowed, he moves with his young daughter to a small town, but his quiet life is shattered by a meth-making drug trafficker."
tid683,A Monster Calls,Movie,"Dramas, Sci-Fi & Fantasy",2021-01-16,PG-13,"Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster."
tid684,Death of Me,Movie,Horror Movies,2021-01-16,R,"With no memory of the previous night, a vacationing couple uncovers a disturbing personal video that inexplicably shows one of them killing the other."
tid685,Radium Girls,Movie,"Dramas, Independent Movies",2021-01-16,TV-14,"When the women at a radium factory begin to fall gravely and inexplicably ill, Bessie and her co-workers set out to expose a corporate cover-up."
tid686,Double Dad,Movie,"Children & Family Movies, Comedies, Dramas",2021-01-15,TV-G,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is."
tid687,Outside the Wire,Movie,Action & Adventure,2021-01-15,R,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack."
tid688,Penguins of Madagascar: The Movie,Movie,"Children & Family Movies, Comedies",2021-01-15,PG,"Elite penguin spies Skipper, Kowalski, Rico and Private join forces with the suave agents of the North Wind to defeat power-mad genius Octavius Brine."
